,0
0,"The concept of food-medicine homology, derived from traditional Chinese dietary culture, endows functional food biscuits with both nutritional value and therapeutic potency. Such biscuits are abundant in bioactive compounds including polysaccharides, dietary fiber, and flavonoids, which may exert regulatory effects through the microbiota-gut-brain axis (MGBA). This study explored the impacts of functional biscuits formulated with Gastrodia elata Bl., Poria cocos (Schw.) Wolf, Coix lacryma-jobi L. var. ma-yuen (Roman.) Stapf, Sesamum indicum L., Juglans regia L., and Ziziphus jujuba Mill. on intestinal microbiota and cerebral biochemical indicators in mice. Mice were assigned to four groups: control, low-dose, medium-dose, and high-dose biscuit groups. We measured serum interleukin-1β (IL-1β), hippocampal acetylcholinesterase (AChE) and brain-derived neurotrophic factor (BDNF), as well as cerebral superoxide dismutase (SOD) levels, and profiled intestinal microbiota using 16S rRNA gene sequencing. The low-dose group exhibited optimal modulation of hippocampal AChE and BDNF, concurrent with reshaped intestinal microbiota and elevated abundance of beneficial bacterial taxa. Intervention doses exerted significant effects on microbial diversity; genera such as unclassified Atopobiaceae, Facklamia, and Staphylococcus were significantly correlated with changes in cerebral biomarkers. Collectively, these compound biscuits remodel the intestinal microbiota to ameliorate brain function, antioxidant capacity, and inflammatory status via the MGBA, demonstrating great potential for maintaining cognitive and neurological health."
1,"BackgroundDepressive symptoms frequently co-occur with cognitive impairment in older adults. Although depression and cognition interact in brain activity, the underlying functional connectivity mechanisms in mild cognitive impairment (MCI) remains unclear.ObjectiveTo investigate how depressive symptoms modulate the relationship between cognition and amygdala/hippocampus functional connectivity in MCI.MethodsThis study included 138 participants (45 healthy controls and 93 MCI patients) who underwent resting state functional magnetic resonance imaging (rs-fMRI) and neuropsychological assessment using the Montreal Cognitive Assessment-Basic (MoCA-B) for cognitive function and Hamilton Depression Rating Scale (HAMD) for depressive symptoms. Seed-based functional connectivity analysis was performed using bilateral amygdala and hippocampus as seed regions to quantify the HAMD × MoCA-B non-monotonic interactions on whole-brain connectivity. Simple slopes analyses were conducted to characterize directionality changes across depression severity levels.ResultsWhole-brain analyses revealed significant HAMD × MoCA-B interaction effects (cluster p value < 0.05, voxel p value < 0.01, GRF corrected) demonstrating symptom-dependent reorganization of cognition-FC relationships. Amygdala connectivity decreased to anterior/middle cingulate and precuneus but increased to triangular part of inferior frontal gyrus (IFGtri), medial superior frontal gyrus, and cerebellar lobule IX. Hippocampal connectivity decreased to cuneus, insula, thalamus, and caudate but increased to opercular part of inferior frontal gyrus (IFGop), orbitofrontal cortex, and cerebellar lobule VIII.ConclusionDepressive symptoms alter amygdala and hippocampal FC relationships with cognition in MCI. Depression-dependent hippocampal/amygdala connectivity changes with the frontoparietal network (FPN-A)-particularly IFGop/IFGtri and cerebellum-suggest their role as critical hubs for emotional-cognitive integration, highlighting them as potential neuromodulation targets for cognitive and depressive symptoms in MCI."
2,"Sevoflurane may induce neurotoxicity and cognitive impairment, though the associated mechanisms remain unclear. This study aimed to investigate how long non-coding RNA CEBPA-AS1 contributed to the neurotoxicity and cognitive impairment induced by sevoflurane. This study employed HT22 hippocampal neuronal cells and 18-month-old Sprague-Dawley rats to establish a sevoflurane exposure model. Reverse transcription quantitative real‑time polymerase chain reaction (RT‑qPCR) was employed to detect relevant gene expression. Cell proliferation, apoptosis, inflammatory levels, and oxidative stress indicators were assessed using cell counting kit‑8 (CCK‑8) assays, flow cytometry, enzyme‑linked immunosorbent assay (ELISA), and oxidative stress kits. The Morris water maze was used to evaluate rats' learning and memory abilities. The RNA immunoprecipitation (RIP) assay and dual luciferase assay were utilised to validate the targeted binding relationship of the target molecules. Sevoflurane treatment significantly increased CEBPA-AS1 expression in HT22 cells and rat hippocampal tissue while simultaneously downregulating microRNA-455-3p (miR-455-3p) and upregulating erythropoietin-producing hepatocellular carcinoma A4 (EPHA4). Silencing CEBPA-AS1 significantly alleviated sevoflurane-induced cellular and brain tissue injury, apoptosis, oxidative stress, and inflammatory responses, whilst concurrently improving cognitive impairment at the in vivo level. Mechanistic studies showed CEBPA-AS1 acted as a molecular sponge for miR-455-3p, which targeted and repressed EPHA4, thus forming the CEBPA-AS1/miR-455-3p/EPHA4 regulatory axis. Rescue experiments showed that miR-455-3p inhibition partially reversed the attenuation of sevoflurane neurotoxicity by CEBPA-AS1 silencing, restoring neurotoxicity, oxidative stress, inflammation, and cognitive impairment in vitro and in vivo. On this basis, EPHA4 inhibition blocked the competitive endogenous RNA (ceRNA) axis-mediated toxic effects, relieving these neurotoxic phenotypes and cognitive dysfunction again. The CEBPA-AS1/miR-455-3p/EPHA4 axis mediated sevoflurane-induced neurotoxicity and subsequent cognitive impairment."
3,"Cognitive impairment, characterized by impaired attention function, is widely recognized as one of the core symptoms of schizophrenia, significantly impacting the quality of life for individuals with this disorder. The objective of this cross-sectional study is to investigate the characteristics of attentional behavior and related brain structure and gene expression of schizophrenia, aiming to provide new trans-scale evidence. A total of 137 participants were enrolled in this study, including 65 patients with schizophrenia and 72 healthy controls. All participants underwent magnetic resonance imaging scans and completed cognitive tests. The results revealed that patients required more time (all <i>p</i> < 0.05) to complete key responses in attention-related tasks compared to the control group. Moreover, significant structural brain alterations were observed in patients with schizophrenia, including enlarged bilateral pallidum, smaller right hippocampus, and reduced cortical thickness in relevant brain regions (all <i>p</i> < 0.05). Further analysis demonstrated a correlation between alertness during Attention Network Test performance and pallidum volume among patients (<i>r</i> = 0.42, <i>p</i> = 4.30 × 10<sup>-4</sup>), and this correlation was associated with a specific pattern of gene expression in the patients' brain but not observed among controls. Our study reveals that decreased attentional ability in schizophrenia is accompanied by abnormal changes in pallidum along with specific transcriptional profile among patients with schizophrenia; these findings hold clinical significance for precise diagnosis and treatment strategies targeting schizophrenia."
4,"The primate anterior entorhinal cortex (EC) receives rich projections from the amygdala and from multimodal association areas, including the medial prefrontal, anterior cingulate, and orbitofrontal cortices. Axon terminations from these structures on the anterior EC facilitate processing of the emotional aspects of stimuli and events. The EC projects to hippocampus, which is associated with episodic memory. Processing in the anterior EC is modulated by inhibitory neurons, which in primates express the calcium-binding proteins (CBPs): calretinin (CR), or calbindin (CB) or parvalbumin (PV), which collectively account for most inhibitory neurons in the primate cortex. Here, stereological analysis of these neurochemical classes of inhibitory neurons in the anterior half of EC in humans revealed similar patterns as in rhesus monkeys. In both primate species, the densest neuronal subpopulation of presumed inhibitory neurons expressed CR, followed by CB, and lastly by PV. In both species CR neurons were most prevalent in layers I and II, CB neurons in layers II and III and PV neurons in the middle-deep layers. Moreover, the medial and lateral sectors of the anterior EC had different densities of neurons expressing these CBPs. Further analysis revealed that in the human anterior EC, virtually all PV neurons expressed the GABAergic marker GAD67/GAD1 (glutamate decarboxylase 67/glutamate decarboxylase 1), whereas only two-thirds of CB neurons and only one-third of CR neurons colocalized with GAD67/GAD1. In the entire neuronal population of the anterior half of human EC estimated by stereology, 10% expressed GAD67/GAD1, comparable to the collective population of CBP-positive neurons that colocalized with GAD67/GAD1. These findings reveal that the medial and lateral sectors of anterior EC have distinct inhibitory microenvironments, which likely affect the processing of input and output of hippocampus."
5,"This study aimed to investigate the role and underlying mechanism of lncRNA MIAT in sevoflurane (Sev)-induced cognitive dysfunction in neonatal rats, thereby offering theoretical basis for clinical intervention. Seven-day-old Sprague-Dawley (SD) rats were chosen to construct a Sev-induced cognitive dysfunction model. Anxiety-like behavior and locomotor activity were assessed by the open field test (OFT), whereas cognitive function was evaluated using novel object recognition (NOR) test and Morris water maze (MWM) test. The expression levels of lncRNA MIAT, miR-15b-5p, and Ccnd1 were detected by RT-qPCR. The dual-luciferase reporter gene assay was carried out to validate the targeted binding relationships. Sev exposure led to a downregulation of lncRNA MIAT expression in rat hippocampus. lncRNA MIAT alleviated Sev-induced cognitive impairment, as manifested by increased central zone residence time in OFT, elevated recognition index (RI) in NOR test, shortened escape latency, increased platform crossings, and prolonged target quadrant residence time in MWM test. Mechanistically, lncRNA MIAT directly targeted miR-15b-5p and inhibited its expression. miR-15b-5p targeted Ccnd1 and suppressed its expression. Overexpression of miR-15b-5p or silencing of Ccnd1 reversed the neuroprotective effect of lncRNA MIAT. LncRNA MIAT ameliorates Sev-induced cognitive dysfunction in neonatal rats by sponging miR-15b-5p to upregulate Ccnd1 expression, which may serve as a potential target for preventing Sev-related neurotoxicity."
6,"The hippocampus and amygdala form a tightly integrated circuit supporting memory-emotion integration and stress regulation, critically implicated in psychosis development. However, the maturation of the hippocampus-amygdala (HIP-AMY) complex as a functional unit remains poorly understood. 22q11.2 deletion syndrome (22q11DS), with increased risk of schizophrenia, provides a valuable model to study its neurodevelopmental trajectories. A prospective longitudinal cohort of 133 individuals with 22q11DS and 150 healthy controls (HC) underwent neuroimaging and psychiatric assessments approximately every three years. Resting-state fMRI data were analysed using a data-driven clustering approach to identify transient states of dynamic functional connectivity linked to the activation of specific ensembles of HIP-AMY nuclei. State occurrences over age were compared between 22q11DS and HC and between 22q11DS individuals with and without positive psychotic symptoms (PPS+ and PPS-). Seven HIP-AMY states were identified, three showing significant and one trend-level age-by-diagnosis interaction. Importantly, the occurrence of a CA3-centromedial amygdala driven state showing co-activation of limbic and thalamo-striatal salience hubs decreased over age in HC, but remained elevated in 22q11DS. This divergence was reflected within 22q11DS, with PPS- showing a decrease and PPS+ a modest increase. The persistence of this pattern over development may provide a dynamic signature of emergence of psychosis."
7,"DEK is an estrogen-responsive chromatin-remodeling protein broadly expressed in the murine and human brain, with high expression in memory-relevant regions such as the hippocampus. Prior work from our group and others has linked DEK loss to cellular features associated with Alzheimer's disease and Alzheimer's disease-related dementias. Notably, our group has demonstrated that DEK expression declines with increasing dementia severity in women, but not in age-matched men, suggesting a sex-specific relationship between DEK loss and cognitive vulnerability. Together, these findings support a potential neuroprotective role for DEK; however, functional consequences of DEK loss in vivo were unknown. Here, we examined behavioral and molecular consequences of Dek loss using male and female constitutive knockout (cKO) mice assessed across cognitive, sensorimotor, and affective domains. Across assays, Dek cKO mice of both sexes exhibited intact locomotor activity, anxiety-related behavior, sensorimotor gating, and fear-associated memory. In contrast, female Dek cKO mice displayed selective impairments in cognitive flexibility despite preserved spatial learning and memory, a phenotype not observed in males and indicative of female-specific vulnerability following DEK loss. This sex difference, observed during Morris water maze reversal learning, suggests disruption of hippocampal-prefrontal circuitry. Guided by known sex differences in hippocampal DEK expression, transcriptomic profiling of hippocampal tissue revealed shared and sex-specific consequences of Dek deficiency, including alterations in cytoskeletal organization, neuronal signaling, chromatin regulatory mechanisms, and cellular stress pathways. Collectively, these findings demonstrate sex- and cognitive-domain-specific effects of DEK loss and support further investigation of DEK in executive function and hippocampal-prefrontal cortex-mediated cognition."
8,"Spatially resolved lineage tracing is essential for understanding how clonal relationships shape tissue architecture. However, such an approach has not been established in mice across different tissues. Here we present Spatio-DARLIN, a versatile method that integrates the high-diversity DARLIN lineage-tracing mouse with sequencing-based spatial transcriptomics. Through a dedicated computational pipeline, Spatio-DARLIN achieves accurate clonal mapping at single-cell resolution and recovers reliable lineage information from ~25-50% of cells in the intestine and brain. Spatio-DARLIN identified stereotyped clonal patterns in the intestinal epithelium and revealed clonal dynamics that were consistent with stem-cell neutral drift. In the brain, we uncovered greater clonal expansion of radial glial cells in the cortex and hippocampus during development than in other regions. Moreover, our data strongly suggested that neuronal progenitors across different nuclei in the hypothalamus were already spatially prepatterned by embryonic day E10. Spatio-DARLIN enables high-resolution study of clonal architecture, expansion and migration across diverse tissues in situ."
9,"Histone variants are critical components of neuronal chromatin that are emerging as key regulators of long-term memory formation. We previously showed that depleting the macrodomain-containing histone variant macroH2A1 (mH2A1) in the mouse hippocampus impairs long-term memory, establishing this histone as essential for memory consolidation. However, mH2A1 undergoes alternative splicing to generate two isoforms, mH2A1.1 and mH2A1.2, which differ by a single exon within the macrodomain. Though mH2A1.1 and mH2A1.2 have been reported to regulate unique molecular processes in non-neuronal cells, distinct functional contributions of hippocampal mH2A1.1 and mH2A1.2 to long-term memory formation in the adult brain are unknown. Here, we characterized genomic localization of mH2A1 splice isoforms in the mouse hippocampus and evaluated how isoform-specific knockdown impacts hippocampal transcription and memory. Although both isoforms localize to and regulate memory-relevant genes, their depletion affected largely non-overlapping gene sets, and only loss of mH2A1.1 impaired long-term memory. Notably, mH2A1.1 depletion increased expression of several genes that negatively regulate memory formation, including the well-established memory suppressor calcineurin. Thus, under normal conditions, mH2A1.1 may promote memory by repressing transcriptional programs that constrain plasticity. Together, these findings reveal isoform-specific functions of mH2A1 in the hippocampus and identify alternative splicing of mH2A1 as a key epigenetic mechanism that fine-tunes neural chromatin composition to enable long-term memory formation."
